# heliumInput = PHENOTYPE									
germplasm_name	germplasm_id	germplasm_gid	country_name	country_code	has_trials_data	has_genotypic_data	Project	Year	Range
Astrix	251	Astrix	France	FR				1969	1960-1969
Atem	252	Atem	Netherlands	NL				1980	1980-1989
Aufis	253	Aufis	Germany	DE				1974	1970-1979
B 2145	254	B 2145							Unknown
Bartok	255	Bartok	United Kingdom of Great Britain and Northern Ireland	GB					Unknown
Bavaria	256	Bavaria	Germany	DE				1910	1830-1959
Bavarian landvariety	257	Bavarian landvariety	Germany	DE					Unknown
Bethges II	258	Bethges II	Germany	DE					Unknown
Bethges III	259	Bethges III	Germany	DE					Unknown
Bethges XIII	260	Bethges XIII	Germany	DE					Unknown
Bordia	261	Bordia	Belgium	BE				1924	1830-1959
Brahms	262	Brahms	United Kingdom of Great Britain and Northern Ireland	GB				1995	1990-1999
Breun 1453e16 x Him.T253	263	Breun 1453e16 x Him.T253	Germany	DE					Unknown
Breun 1622	264	Breun 1622	Germany	DE					Unknown
Breun 1747	265	Breun 1747	Germany	DE					Unknown
Breun 3556a	266	Breun 3556a	Germany	DE					Unknown
Britannia	267	Britannia	United Kingdom of Great Britain and Northern Ireland	GB				1989	1980-1989
Cambrinus	268	Cambrinus	Netherlands	NL				1962	1960-1969
Carlsberg II	269	Carlsberg II	Denmark	DK				1953	1830-1959
Carnival	270	Carnival	United Kingdom of Great Britain and Northern Ireland	GB				1981	1980-1989
Casino	271	Casino	United Kingdom of Great Britain and Northern Ireland	GB				1987	1980-1989
Cask	272	Cask	United Kingdom of Great Britain and Northern Ireland	GB				1992	1990-1999
Cebeco 6721 x L100	273	Cebeco 6721 x L100	Netherlands	NL					Unknown
Cebeco 7931 x Pompadour	274	Cebeco 7931 x Pompadour	Netherlands	NL					Unknown
Cebeco 6801 x GB 1605	275	Cebeco 6801 x GB 1605	Netherlands	NL					Unknown
Cebeco 8331	276	Cebeco 8331	Netherlands	NL					Unknown
Celechovicky hanacky	277	Celechovicky hanacky	Czech Republic	CZ				1956	1830-1959
Ceres	278	Ceres	France	FR				1962	1960-1969
CI 1237	279	CI 1237							Unknown
CJV 1483	280	CJV 1483							Unknown
Clara	281	Clara	Sweden	SE				1964	1960-1969
Clermont	282	Clermont	France	FR				1967	1960-1969
Colston	283	Colston	United Kingdom of Great Britain and Northern Ireland	GB				2000	2000-2009
Columbus	284	Columbus	Denmark	DK				2010	2010-2017
Conchita	285	Conchita	Germany	DE				2007	2000-2009
CPBT B55	286	CPBT B55							Unknown
Cropton	287	Cropton	United Kingdom of Great Britain and Northern Ireland	GB				2006	2000-2009
CSBA 1096/1022	288	CSBA 1096/1022							Unknown
D 80-20	289	D 80-20							Unknown
Dana	290	Dana	Denmark	DK				1964	1960-1969
Danubia	291	Danubia	Germany	DE				1912	1830-1959
Defra	293	Defra	Germany	DE				1984	1980-1989
Denar	294	Denar	Czech Republic	CZ				1969	1960-1969
Dera	295	Dera	Germany	DE				1982	1980-1989
DN7	296	DN7							Unknown
Donaria	297	Donaria	Germany	DE				1941	1830-1959
Dram	298	Dram	United Kingdom of Great Britain and Northern Ireland	GB				1977	1970-1979
Dray	299	Dray	United Kingdom of Great Britain and Northern Ireland	GB				1997	1990-1999
Dwarf	300	Dwarf	United Kingdom of Great Britain and Northern Ireland	GB					Unknown
Earl	301	Earl	United Kingdom of Great Britain and Northern Ireland	GB				1947	1830-1959
Ekonom	302	Ekonom	Czech Republic	CZ				1960	1960-1969
Elbo	303	Elbo	Denmark	DK				1968	1960-1969
Elsa	304	Elsa	France	FR				1980	1980-1989
Erica	305	Erica							Unknown
Erna	306	Erna	Netherlands	NL				1981	1980-1989
ET 181 x Kara x  Halcyon	307	ET 181 x Kara x  Halcyon							Unknown
Etna	308	Etna	Denmark	DK				1991	1990-1999
Extract	309	Extract	United Kingdom of Great Britain and Northern Ireland	GB				1997	1990-1999
F 784-70/3	310	F 784-70/3							Unknown
Fabel	311	Fabel							Unknown
Fergie	312	Fergie	United Kingdom of Great Britain and Northern Ireland	GB				1990	1990-1999
Firl. 621	313	Firl. 621	Germany	DE					Unknown
Flare	314	Flare	United Kingdom of Great Britain and Northern Ireland	GB				1980	1980-1989
Fleet	315	Fleet	United Kingdom of Great Britain and Northern Ireland	GB				1985	1980-1989
Flute	316	Flute	United Kingdom of Great Britain and Northern Ireland	GB				1997	1990-1999
Force	317	Force							Unknown
Fractal	318	Fractal	United Kingdom of Great Britain and Northern Ireland	GB				1996	1990-1999
Frisia	319	Frisia	Germany	DE				1955	1830-1959
Galina	320	Galina	Germany	DE				1972	1970-1979
Gamma-Ray Mutant	321	Gamma-Ray Mutant	United Kingdom of Great Britain and Northern Ireland	GB					Unknown
Georgine	322	Georgine	Germany	DE				1932	1830-1959
Gerbel	323	Gerbel	France	FR				1977	1970-1979
Gerlinde	324	Gerlinde	Germany	DE				1979	1970-1979
Gimpel	325	Gimpel	Germany	DE				1979	1970-1979
Goldie	326	Goldie	Sweden	SE				1992	1990-1999
Goldmarker	327	Goldmarker	United Kingdom of Great Britain and Northern Ireland	GB				1977	1970-1979
Gotland landvariety	328	Gotland landvariety	Sweden	SE					Unknown
Grand Prix 2	329	Grand Prix 2	Netherlands	NL					Unknown
Grit	330	Grit	Germany	DE				1979	1970-1979
Gull Mutant	331	Gull Mutant	Sweden	SE					Unknown
Gunilla	332	Gunilla	Sweden	SE				1970	1970-1979
H 204	333	H 204							Unknown
Hordeum laevigatum	334	Hordeum laevigatum							Unknown
Hordeum deficiens x Sergeant	335	Hordeum deficiens x Sergeant							Unknown
Hadm. 46459-68	336	Hadm. 46459-68	Germany	DE					Unknown
Hadm. 46619-68	337	Hadm. 46619-68	Germany	DE					Unknown
Hadm. 46655	338	Hadm. 46655	Germany	DE					Unknown
Hadm. 46813-68	339	Hadm. 46813-68	Germany	DE					Unknown
Hadm. 55474-67 x Derenburg 480-68	340	Hadm. 55474-67 x Derenburg 480-68	Germany	DE					Unknown
Hadm. 55648-85	341	Hadm. 55648-85	Germany	DE					Unknown
Hado	342	Hado	Czech Republic	CZ				1907	1830-1959
Hadostreng	343	Hadostreng	Germany	DE				1907	1830-1959
Haha	344	Haha	Germany	DE				1941	1830-1959
Haisa	345	Haisa	Germany	DE				1939	1830-1959
Hana	346	Hana	Czech Republic	CZ				1973	1970-1979
Hauter x Hatif de Grignon	347	Hauter x Hatif de Grignon	France	FR					Unknown
HB 820-12	348	HB 820-12							Unknown
Heine 05530	349	Heine 05530	Germany	DE					Unknown
Heine 2149	350	Heine 2149	Germany	DE					Unknown
Heine 4242	351	Heine 4242	Germany	DE					Unknown
Heine 4808	352	Heine 4808	Germany	DE					Unknown
Heines Hanna	353	Heines Hanna	Germany	DE					Unknown
Henley	354	Henley	France	FR				2006	2000-2009
Henni	355	Henni	Germany	DE				1995	1990-1999
Heritage	356	Heritage	United Kingdom of Great Britain and Northern Ireland	GB					Unknown
Herta	357	Herta	Sweden	SE				1949	1830-1959
Hind	358	Hind	France	FR				1996	1990-1999
